Sr#,Category Id,Name,Path,Synonyms
307,2700,Lights & Reflectors,Sports & Outdoors/Outdoor Recreation/Cycling/Bike Accessories/Lights & Reflectors,
308,2701,Locks,Sports & Outdoors/Outdoor Recreation/Cycling/Bike Accessories/Locks,
309,2702,Mount Holders,Sports & Outdoors/Outdoor Recreation/Cycling/Bike Accessories/Mount Holders,
310,2826,Skateboard Parts,Sports & Outdoors/Outdoor Recreation/Skateboards/Skateboard Parts,
311,2842,Skateboards,Sports & Outdoors/Outdoor Recreation/Skateboards/Skateboards,
312,2852,Inline Skates,Sports & Outdoors/Outdoor Recreation/Inline & Roller Skates/Inline Skates,
313,3218,Exterior Care,Motors/Automotive/Car Care/Exterior Care,
314,3220,Interior Care,Motors/Automotive/Car Care/Interior Care,
315,3222,Covers,Motors/Automotive/Exterior Accessories/Covers,
316,3223,Deflectors & Shields,Motors/Automotive/Exterior Accessories/Deflectors & Shields,
317,3224,Grilles & Grille Guards,Motors/Automotive/Exterior Accessories/Grilles & Grille Guards,
318,3226,Running Boards & Steps,Motors/Automotive/Exterior Accessories/Running Boards & Steps,
319,3227,Towing Products & Winches,Motors/Automotive/Exterior Accessories/Towing Products & Winches,
320,3229,Air Fresheners,Motors/Automotive/Interior Accessories/Air Fresheners,
321,3232,Dash Mats,Motors/Automotive/Interior Accessories/Dash Mats,
322,3235,Gauges,Motors/Automotive/Interior Accessories/Gauges,
323,3238,Steering Wheels & Accessories,Motors/Automotive/Interior Accessories/Steering Wheels & Accessories,
324,3260,Brake System,Motors/Automotive/Performance Parts & Accessories/Brake System,
325,3261,Exhaust System,Motors/Automotive/Performance Parts & Accessories/Exhaust System,
326,3262,Filters,Motors/Automotive/Performance Parts & Accessories/Filters,
327,3263,Fuel System,Motors/Automotive/Performance Parts & Accessories/Fuel System,
328,3264,Ignition Parts,Motors/Automotive/Performance Parts & Accessories/Ignition Parts,
329,3265,Shocks & Struts,Motors/Automotive/Performance Parts & Accessories/Shocks & Struts,
